course_id,section_id,university,department
105979325,105966885,Troy University,BIO
105979325,105966886,Troy University,BIO
105979325,105966887,Troy University,BIO
105979326,105966888,Troy University,BIO
105979326,105966979,Troy University,BIO
105979326,105966980,Troy University,BIO
105979326,105966981,Troy University,BIO
105979327,105966982,Troy University,BIO
105979327,105966983,Troy University,BIO
105979327,105966984,Troy University,BIO
105979327,105966985,Troy University,BIO
105979327,105966986,Troy University,BIO
105979328,105966987,Troy University,BIO
105979328,105966988,Troy University,BIO
105979329,105966989,Troy University,BIO
105979330,105966990,Troy University,BIO
105979331,105966991,Troy University,BIO
105979331,105966992,Troy University,BIO
105979332,105966993,Troy University,BIO
105979332,105966994,Troy University,BIO
105979333,105966995,Troy University,BIO
105979334,105966996,Troy University,BIO
105979335,105966997,Troy University,BIO
105979335,105966998,Troy University,BIO
105979336,105966999,Troy University,BMS
105979337,105967000,Troy University,BMS
105979338,105967001,Troy University,BMS
105979339,105967002,Troy University,BUS
105979340,105967003,Troy University,BUS
105979340,105967004,Troy University,BUS
105979340,105967005,Troy University,BUS
105979341,105967006,Troy University,BUS
105979342,105967007,Troy University,BUS
105979343,105967008,Troy University,BUS
105979343,105967009,Troy University,BUS
105979343,105967010,Troy University,BUS
105979344,105967011,Troy University,BUS
105979344,105967012,Troy University,BUS
107107272,107104500,Troy University,BUS
105979345,105967013,Troy University,BUS
105979345,105967014,Troy University,BUS
105979346,105967015,Troy University,BUS
105979347,105967016,Troy University,BUS
105979348,105967017,Troy University,BUS
105979349,105967018,Troy University,BUS
105979349,105967019,Troy University,BUS
105979350,105967020,Troy University,BUS
105979350,105967021,Troy University,BUS
105979351,105967022,Troy University,BUS
106893988,106888642,Troy University,BUS
105979352,105967023,Troy University,BUS
105979353,105967024,Troy University,BUS
107539386,107538188,Troy University,BUS
105076140,105062515,Troy University,CHI
105979356,105967027,Troy University,CHM
105979356,105967028,Troy University,CHM
105979356,105967029,Troy University,CHM
105979356,105967030,Troy University,CHM
105979356,105967031,Troy University,CHM
105979357,105967032,Troy University,CHM
105979357,105967033,Troy University,CHM
105979358,105967034,Troy University,CHM
105979359,105967035,Troy University,CHM
105979360,105967036,Troy University,CHM
105979361,105966899,Troy University,CHM
105979362,105966900,Troy University,CHM
105979363,105966901,Troy University,CHM
105076139,105062516,Troy University,CHM
106861630,106849427,Troy University,CHM
106861630,107116570,Troy University,CHM
106861630,107688265,Troy University,CHM
106861630,107688266,Troy University,CHM
105979364,105966902,Troy University,CHM
105979364,105966903,Troy University,CHM
105979364,105966904,Troy University,CHM
105979364,105966905,Troy University,CHM
105979364,105966906,Troy University,CHM
105979364,105966907,Troy University,CHM
105979364,105966908,Troy University,CHM
105979364,105966909,Troy University,CHM
105979364,105966910,Troy University,CHM
105979364,105966911,Troy University,CHM
105979365,105966912,Troy University,CHM
105979365,105966913,Troy University,CHM
105979365,105966914,Troy University,CHM
105979365,105966915,Troy University,CHM
105979366,105966916,Troy University,CHM
105979366,105966917,Troy University,CHM
105979367,105966918,Troy University,CHM
105979367,105966919,Troy University,CHM
105979368,105966920,Troy University,CHM
105979368,105966921,Troy University,CHM
105979369,105966922,Troy University,CHM
105979370,105966923,Troy University,CHM
105076138,105062517,Troy University,CJ
105076138,105062518,Troy University,CJ
105076137,105062519,Troy University,CJ
105076136,105062520,Troy University,CJ
105979371,105966924,Troy University,CJ
105979372,105966925,Troy University,CJ
105076135,105062521,Troy University,CJ
105076134,105062522,Troy University,CJ
105076133,105062523,Troy University,CJ
105076132,105062524,Troy University,CJ
105076131,105062525,Troy University,CJ
105076130,105062526,Troy University,CJ
105076129,105062527,Troy University,CJ
105076128,105062528,Troy University,CJ
105076127,105062529,Troy University,CJ
105076126,105062530,Troy University,CJ
105076125,105062531,Troy University,CJ
105076124,105062532,Troy University,CJ
105979373,105966926,Troy University,CJ
106723839,106716084,Troy University,CJ
105076123,105062533,Troy University,CJ
105076110,105062608,Troy University,CLA
105076110,105062609,Troy University,CLA
105979374,105966927,Troy University,CLA
105076109,105062610,Troy University,CLA
105076122,105062592,Troy University,COM
105076122,105062593,Troy University,COM
105076121,105062594,Troy University,COM
105076120,105062595,Troy University,COM
105076120,105062596,Troy University,COM
105076120,105062597,Troy University,COM
105076120,105062598,Troy University,COM
105076119,105062599,Troy University,COM
105076118,105062600,Troy University,COM
105076117,105062601,Troy University,COM
105076116,105062602,Troy University,COM
105076115,105062603,Troy University,COM
